objectid,filename,title,format,series name,volume number,issue number,publisher,script,pencils,inks,colors,letters,editing,date,subjects
comic033,comic033.jpg,For an Empire Lost...,image/jpeg,Avengers,1,365,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Garrahy, Pat ; Macchio, Ralph ; DeFalco, Tom",1993-08-01,
comic034,comic034.jpg,The First Rule!,image/jpeg,Avengers,1,366,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Parker, Rick","Macchio, Ralph ; DeFalco, Tom",1993-09-01,
comic035,comic035.jpg,Voyeuristic Visions,image/jpeg,Avengers,1,367,Marvel,"Harras, Bob","Hall, Jim","Husdon, Don","Matthys, Chris",Oakley ; Babcock,"Macchio, Ralph ; DeFalco, Tom",1993-10-01,
comic036,comic036.jpg,Bloodties: Family Legacy,image/jpeg,Avengers,1,368,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1993-11-01,
comic037,comic037.jpg,Bloodties: Of Kith and Kin,image/jpeg,Avengers,1,369,Marvel,"Harras, Bob","Epting, Steve ; Duursema, Jan","Palmer, Tom","Rockwitz, Mike","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1993-12-01,
comic038,comic038.jpg,Delta Force,image/jpeg,Avengers,1,370,Marvel,"Herdling, Glen","Isherwood, Geof",Milgrom ; Yates,"Matthys, Chris","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1994-01-01,
comic039,comic039.jpg,Godlings and Gladiators,image/jpeg,Avengers,1,371,Marvel,"Herdling, Glen","Gustovich, Mike","Palmer, Tom","Matthys, Chris","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1994-02-01,
comic040,comic040.jpg,The Folds Gather,image/jpeg,Avengers,1,372,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1994-03-01,
comic041,comic041.jpg,Armageddon,image/jpeg,Avengers,1,373,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Kalisz, John","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1994-04-01,
comic042,comic042.jpg,Intersecting Parallels,image/jpeg,Avengers,1,374,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Kalisz, John","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1994-05-01,
comic043,comic043.jpg,The Last Gathering,image/jpeg,Avengers,1,375,Marvel,"Harras, Bob","Epting, Steve","Palmer, Tom","Kalisz, John","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1994-06-01,
comic044,comic044.jpg,The Inhuman Condition,image/jpeg,Avengers,1,376,Marvel,"Cavalieri, Joey","Miehm, Grant","Miehm, Grant","Hondru, Ovi","Crespi, Susan","Macchio, Ralph ; DeFalco, Tom",1994-07-01,
comic045,comic045.jpg,Out of House and Home,image/jpeg,Avengers,1,377,Marvel,"Cavalieri, Joey","Miehm, Grant","Miehm, Grant","Hondru, Ovi","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1994-08-01,
comic046,comic046.jpg,Echoes of History,image/jpeg,Avengers,1,378,Marvel,"Harras, Bob","Johnson, Stewart","Palmer, Tom","Kalisz, John","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1994-09-01,
comic047,comic047.jpg,The Legends and the Lost,image/jpeg,Avengers,1,379,Marvel,"Harras, Bob","Johnson, Stewart ; Grindberg, Tom","Palmer, Tom ; Rankin, Rich",Bollers ; Kalisz ; Marshall ; Marts,"Chiang, Janice","Macchio, Ralph ; DeFalco, Tom",1994-10-01,
comic048,comic048.jpg,Errand of Mercy,image/jpeg,Avengers,1,380,Marvel,"Harras, Bob","Deodato Jr., Mike","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1994-11-01,
comic049,comic049.jpg,Sacred Ground,image/jpeg,Avengers,1,381,Marvel,"Harras, Bob ; Kavanagh, Terry","Deodato Jr., Mike","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1994-12-01,
comic050,comic050.jpg,Offerings,image/jpeg,Avengers,1,382,Marvel,"Harras, Bob","Deodato Jr., Mike","Palmer, Tom","Palmer, Tom","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom ; Gruenwald, Mark",1995-01-01,
comic051,comic051.jpg,Shattered Vows!,image/jpeg,Avengers,1,383,Marvel,"Brevoort, Tom ; Kanterovich, Mike","Gustovich, Mike","Gustovich, Mike","Somers, Kevin ; Javins, Marie","Oakley, Bill","Macchio, Ralph ; DeFalco, Tom",1995-02-01,
comic052,comic052.jpg,Dream Lover,image/jpeg,Avengers,1,384,Marvel,"Harras, Bob ; Kavanagh, Terry","Deodato Jr., Mike","Palmer, Tom","Kalisz, John","Oakley, Bill","Macchio, Ralph ; Gruenwald, Mark",1995-03-01,
comic053,comic053.jpg,Evil in a Cold and Lonely Place,image/jpeg,Avengers,1,385,Marvel,"Harras, Bob ; Kavanagh, Terry","Deodato Jr., Mike ; Buscema, John","Palmer, Tom","Kalisz, John","Oakley, Bill","Macchio, Ralph ; Gruenwald, Mark",1995-04-01,
comic054,comic054.jpg,Taking A.I.M.: Shadow Hunt,image/jpeg,Avengers,1,386,Marvel,"Harras, Bob ; Kavanagh, Terry","Medina, Angel","Koblish, Scott","Kalisz, John","Oakley, Bill ; NJQ","Macchio, Ralph ; Gruenwald, Mark",1995-05-01,
comic055,comic055.jpg,Taking A.I.M.: Island of Spirits,image/jpeg,Avengers,1,387,Marvel,"Harras, Bob ; Kavanagh, Terry","Deodato Jr., Mike","Palmer, Tom","Kalisz, John","Oakley, Bill","Macchio, Ralph ; Gruenwald, Mark",1995-06-01,
comic056,comic056.jpg,Taking A.I.M.: Into the Breach,image/jpeg,Avengers,1,388,Marvel,"Harras, Bob ; Kavanagh, Terry","Deodato Jr., Mike","Palmer, Tom","Thomas, Mike","Oakley, Bill","Macchio, Ralph ; Gruenwald, Mark",1995-07-01,
comic057,comic057.jpg,Message From Home,image/jpeg,Avengers,1,389,Marvel,"Harras, Bob ; Kavanagh, Terry","Laguna, Fabio","Koblish, Scott","Thomas, Mike","Oakley, Bill ; NJQ","Macchio, Ralph ; Gruenwald, Mark",1995-08-01,
comic058,comic058.jpg,Campfire Tales,image/jpeg,Avengers,1,390,Marvel,"Harras, Bob ; Kavanagh, Terry","Deodato Jr., Mike","Palmer, Tom","Becton, Paul","Oakley, Bill","Macchio, Ralph ; Gruenwald, Mark",1995-09-01,
comic059,comic059.jpg,Shadows of the Past,image/jpeg,Avengers,1,391,Marvel,"Harras, Bob ; Kavanagh, Terry","Deodato Jr., Mike","Palmer, Tom","Palmer, Tom","Oakley, Bill ; NJQ","Macchio, Ralph ; Gruenwald, Mark",1995-10-01,
comic060,comic060.jpg,The Past is With Us Always...,image/jpeg,Avengers,1,392,Marvel,"Harras, Bob ; Kavanagh, Terry","Wyman, M. C.","Palmer, Tom","Lopez, Frank","Oakley, Bill ; NJQ","Macchio, Ralph ; Gruenwald, Mark",1995-11-01,
comic061,comic061.jpg,Dark Days Dawn,image/jpeg,Avengers,1,393,Marvel,"Harras, Bob ; Kavanagh, Terry ; Ben Raab","Deodato Jr., Mike","Palmer, Tom","Lopez, Frank","Oakley, Bill ; NJQ","Macchio, Ralph ; Gruenwald, Mark",1995-12-01,
comic062,comic062.jpg,Bad Blood,image/jpeg,Avengers,1,394,Marvel,"Harras, Bob ; Kavanagh, Terry ; Ben Raab","Deodato Jr., Mike","Palmer, Tom","Lopez, Frank","Chiang, Janice","Macchio, Ralph ; Gruenwald, Mark",1996-01-01,
